Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
5400-5499 PARDEE,B,7C20,7,Northeast Division,Theft,Government or Public Buil,KASHMERE GARDENS,52,1470035400000.0,2016-08-01 02:10:00,Monday,August,02:10:00,42.2721055,-83.255951,"250,444"
1900-1999 RUNNELS,H,10H10,10,South Central Division,Auto Theft,Residence or House,SECOND WARD,63,1471160760000.0,2016-08-14 02:46:00,Sunday,August,02:46:00,29.7636515,-95.3520267,"89,675"
2700-2799 GREGG,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470689040000.0,2016-08-08 15:44:00,Monday,August,15:44:00,36.1007277,-94.1630243,"250,444"
2000-2099 SINGLETON,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1470527760000.0,2016-08-06 18:56:00,Saturday,August,18:56:00,32.7786146,-96.8529552,"173,195"
2400-2499 WASHINGTON,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470079200000.0,2016-08-01 14:20:00,Monday,August,14:20:00,37.6496821,-97.3263432,"173,195"
1000-1099 QUITMAN,H,2A10,2,Central Division,Theft,Grocery Store or Supermar,NEAR NORTHSIDE,51,1471854000000.0,2016-08-22 03:20:00,Monday,August,03:20:00,39.73314,-105.04016200000001,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1472313720000.0,2016-08-27 11:02:00,Saturday,August,11:02:00,33.2093845,-95.9605502,"228,390"
2100-2199 SUMMER,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471116780000.0,2016-08-13 14:33:00,Saturday,August,14:33:00,31.570519,-97.169133,"173,195"
2400-2499 CENTER,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1470522600000.0,2016-08-06 17:30:00,Saturday,August,17:30:00,39.4842796,-82.0823515,"173,195"
3300-3399 LINN,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1470362400000.0,2016-08-04 21:00:00,Thursday,August,21:00:00,42.673756,-84.235354,"250,444"
2000-2099 PANNELL,B,7C10,7,Northeast Division,Theft,Apartment,GREATER FIFTH WARD,55,1472308980000.0,2016-08-27 09:43:00,Saturday,August,09:43:00,29.7799188,-95.33224129999999,"250,444"
500-599 W 19TH,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1471032000000.0,2016-08-12 15:00:00,Friday,August,15:00:00,41.800393,-96.67107299999999,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Other Parking Lot,NORTHSIDE/NORTHLINE,45,1470311700000.0,2016-08-04 06:55:00,Thursday,August,06:55:00,33.2093845,-95.9605502,"228,390"
1400-1499 E 36TH,H,3B40,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1470705420000.0,2016-08-08 20:17:00,Monday,August,20:17:00,34.022507,-118.30041000000001,"228,390"
1400-1499 STUDEMONT,H,2A50,2,Central Division,Theft,Grocery Store or Supermar,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471023600000.0,2016-08-12 12:40:00,Friday,August,12:40:00,29.773875,-95.389728,"173,195"
2400-2499 EASTEX ,B,7C20,7,Northeast Division,Burglary,"Church, Synagogue, or Tem",GREATER FIFTH WARD,55,1472020800000.0,2016-08-24 01:40:00,Wednesday,August,01:40:00,30.102931800000004,-94.1362917,"250,444"
800-899 MAIN ST OB ,I,1A10,1,Special Operations Division,Auto Theft,"Hotel, Motel, Inn, Etc.",DOWNTOWN,61,1470838800000.0,2016-08-10 09:20:00,Wednesday,August,09:20:00,42.363601,-71.0993804,"173,195"
1000-1099 N SHEPHERD,C,2A30,2,Central Division,Theft,Grocery Store or Supermar,GREATER HEIGHTS,15,1469995440000.0,2016-07-31 15:04:00,Sunday,July,15:04:00,29.7892329,-95.4098505,"173,195"
000-099 WAUGH ,H,2A50,2,Central Division,Burglary,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1471343400000.0,2016-08-16 05:30:00,Tuesday,August,05:30:00,29.768906,-95.39837469999999,"173,195"
1100-1199 BRINGHURST,B,7C10,7,Northeast Division,Theft,Residence or House,GREATER FIFTH WARD,55,1472178960000.0,2016-08-25 21:36:00,Thursday,August,21:36:00,29.770878000000003,-95.33383570000001,"250,444"
200-299 W 7TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1470165300000.0,2016-08-02 14:15:00,Tuesday,August,14:15:00,38.521064200000005,-89.1417403,"173,195"
700-799 W 11TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1471296600000.0,2016-08-15 16:30:00,Monday,August,16:30:00,34.291222,-99.74871540000001,"173,195"
300-399 W 38TH,H,3B40,3,North Division,Burglary,Commercial Building,INDEPENDENCE HEIGHTS,13,1469969520000.0,2016-07-31 07:52:00,Sunday,July,07:52:00,36.1081304,-96.1259127,"228,390"
3600-3699 YALE,H,3B40,3,North Division,Burglary,Commercial Parking Lot or,INDEPENDENCE HEIGHTS,13,1470298020000.0,2016-08-04 03:07:00,Thursday,August,03:07:00,29.819458100000002,-95.39902109999998,"228,390"
3100-3199 NOBLE,B,7C10,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1469974260000.0,2016-07-31 09:11:00,Sunday,July,09:11:00,39.0455018,-97.0286265,"250,444"
900-999 W 23RD,C,2A60,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1470281100000.0,2016-08-03 22:25:00,Wednesday,August,22:25:00,30.190286100000005,-85.67434,"173,195"
